timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784784162102,12129,HTTP Request PA2,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,160735,272,10,10,https://practicetestautomation.com/courses/,118,0,0
1784784162102,118,HTTP Request PA2-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-6,text,true,,1372,136,10,10,http://practicetestautomation.com/courses/,118,0,0
1784784162220,12011,HTTP Request PA2-1,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,159363,136,10,10,https://practicetestautomation.com/courses/,11780,0,0
1784784174232,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',NON GUI TestCases using csv fies 1-6,text,false,,875,0,10,10,null,0,0,0
1784784162146,12093,HTTP Request PA2,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,160739,272,10,10,https://practicetestautomation.com/courses/,135,0,0
1784784162146,136,HTTP Request PA2-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-2,text,true,,1378,136,10,10,http://practicetestautomation.com/courses/,135,0,0
1784784162282,11957,HTTP Request PA2-1,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,159361,136,10,10,https://practicetestautomation.com/courses/,11727,0,0
1784784174239,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',NON GUI TestCases using csv fies 1-2,text,false,,875,0,10,10,null,0,0,0
1784784173341,1222,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-1,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,343,0,0
1784784173341,343,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-1,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,343,0,0
1784784173685,878,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-1,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,463,0,0
1784784174232,953, HTTP Request EC2,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,24641,296,10,10,https://www.easycalculation.com/unit-conversion/index.php,346,0,0
1784784174232,346, HTTP Request EC2-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-6,text,true,,387,146,10,10,http://easycalculation.com/unit-conversion/index.php,346,0,0
1784784174579,606, HTTP Request EC2-1,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,24254,150,10,10,https://www.easycalculation.com/unit-conversion/index.php,605,0,0
1784784174155,1066, HTTP Request EC2,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,24641,296,10,10,https://www.easycalculation.com/unit-conversion/index.php,415,0,0
1784784174155,415, HTTP Request EC2-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-7,text,true,,387,146,10,10,http://easycalculation.com/unit-conversion/index.php,415,0,0
1784784174570,651, HTTP Request EC2-1,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,24254,150,10,10,https://www.easycalculation.com/unit-conversion/index.php,632,0,0
1784784174239,992, HTTP Request EC2,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,24641,296,10,10,https://www.easycalculation.com/unit-conversion/index.php,339,0,0
1784784174239,339, HTTP Request EC2-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-2,text,true,,387,146,10,10,http://easycalculation.com/unit-conversion/index.php,339,0,0
1784784174579,652, HTTP Request EC2-1,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,24254,150,10,10,https://www.easycalculation.com/unit-conversion/index.php,648,0,0
1784784175186,905,HTTP Request EC3,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,20179,302,10,10,https://www.easycalculation.com/currency-converter/index.php,281,0,0
1784784175186,281,HTTP Request EC3-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-6,text,true,,390,149,10,10,http://easycalculation.com/currency-converter/index.php,281,0,0
1784784175467,624,HTTP Request EC3-1,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,19789,153,10,10,https://www.easycalculation.com/currency-converter/index.php,320,0,0
1784784175221,931,HTTP Request EC3,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,20179,302,10,10,https://www.easycalculation.com/currency-converter/index.php,319,0,0
1784784175221,319,HTTP Request EC3-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-7,text,true,,390,149,10,10,http://easycalculation.com/currency-converter/index.php,319,0,0
1784784175540,612,HTTP Request EC3-1,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,19789,153,10,10,https://www.easycalculation.com/currency-converter/index.php,325,0,0
1784784175231,988,HTTP Request EC3,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,20179,302,10,10,https://www.easycalculation.com/currency-converter/index.php,326,0,0
1784784175231,326,HTTP Request EC3-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-2,text,true,,390,149,10,10,http://easycalculation.com/currency-converter/index.php,326,0,0
1784784175558,661,HTTP Request EC3-1,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,19789,153,10,10,https://www.easycalculation.com/currency-converter/index.php,640,0,0
1784784176091,917,HTTP Request EC4,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,21848,270,10,10,https://www.easycalculation.com/examples.php,289,0,0
1784784176091,289,HTTP Request EC4-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-6,text,true,,374,133,10,10,http://easycalculation.com/examples.php,289,0,0
1784784176380,628,HTTP Request EC4-1,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,21474,137,10,10,https://www.easycalculation.com/examples.php,369,0,0
1784784176153,979,HTTP Request EC4,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,21848,270,10,10,https://www.easycalculation.com/examples.php,309,0,0
1784784176153,309,HTTP Request EC4-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-7,text,true,,374,133,10,10,http://easycalculation.com/examples.php,309,0,0
1784784176462,670,HTTP Request EC4-1,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,21474,137,10,10,https://www.easycalculation.com/examples.php,355,0,0
1784784176220,979,HTTP Request EC4,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,21848,270,10,10,https://www.easycalculation.com/examples.php,319,0,0
1784784176220,319,HTTP Request EC4-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-2,text,true,,374,133,10,10,http://easycalculation.com/examples.php,319,0,0
1784784176540,659,HTTP Request EC4-1,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,21474,137,10,10,https://www.easycalculation.com/examples.php,645,0,0
1784784177009,866,HTTP RequestEC5,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,31978,288,10,10,https://www.easycalculation.com/charts-and-tables.php,285,0,0
